ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
GOOG,2025-11-11,2025-11-17,0.1101887509152215,1,0.294755193202763,0,-0.008458223472509721,0,-1,short,-84.58223472509721,0.1101887509152215,-1101.887509152215,-825.6173887593945,1,0
GS,2025-11-11,2025-11-17,0.0146319948628699,1,0.6636210466603519,1,0.017208207458022897,1,1,long,172.08207458022898,0.0146319948628699,146.319948628699,-679.2974401306956,1,1
HD,2025-11-11,2025-11-17,-0.0648135489666794,1,0.8362451768426012,1,0.04839782946366335,1,1,long,483.97829463663345,-0.0648135489666794,-648.135489666794,-1327.4329297974896,1,0
INTC,2025-11-11,2025-11-17,0.0262127353174119,1,0.018160543914364058,0,0.044025266238850204,1,1,long,440.252662388502,0.0262127353174119,262.127353174119,-1065.3055766233706,1,1
JNJ,2025-11-11,2025-11-17,0.0275157539045325,1,0.5957137746857274,1,0.0020378537090983864,1,1,long,20.378537090983865,0.0275157539045325,275.157539045325,-790.1480375780457,1,1
KO,2025-11-11,2025-11-17,0.0221208575794755,1,0.23128053968685225,0,-0.0870724536552544,0,-1,short,-870.724536552544,0.0221208575794755,-221.208575794755,-1011.3566133728007,1,0
LLY,2025-11-11,2025-11-17,0.0425284394064502,1,0.8738884979038014,1,0.020825961593438785,1,1,long,208.25961593438785,0.0425284394064502,425.284394064502,-586.0722193082986,1,1
LRCX,2025-11-11,2025-11-17,0.0148997135882995,1,0.2536645065618285,0,-0.08097398791778382,0,-1,short,-809.7398791778381,0.0148997135882995,-148.997135882995,-735.0693551912937,1,0
MA,2025-11-11,2025-11-17,-0.0030395941567329,0,0.6107701332354183,1,0.056291215596856466,1,1,long,562.9121559685647,-0.0030395941567329,-30.395941567329,-765.4652967586227,1,0
META,2025-11-11,2025-11-17,0.0134363615941583,1,0.5535408400896115,1,0.007907247518462553,1,1,long,79.07247518462553,0.0134363615941583,134.363615941583,-631.1016808170397,1,1
MRK,2025-11-11,2025-11-17,0.0762953114773719,1,0.3961665000592489,0,0.03879499009979456,1,1,long,387.94990099794563,0.0762953114773719,762.953114773719,131.85143395667933,1,1
MS,2025-11-11,2025-11-17,0.0162956691261055,1,0.6776207635997941,1,-0.031961261269743656,0,-1,short,-319.61261269743653,0.0162956691261055,-162.956691261055,-31.10525730437567,1,0
MSFT,2025-11-11,2025-11-17,-0.0691455421002475,1,0.7257696347154339,1,-0.056159371336297836,0,-1,short,-561.5937133629784,-0.0691455421002475,691.455421002475,660.3501636980993,1,1
NFLX,2025-11-11,2025-11-17,-0.0350047248609901,1,0.5669377953193868,1,0.011303355060859483,1,1,long,113.03355060859484,-0.0350047248609901,-350.047248609901,310.30291508819835,1,0
ORCL,2025-11-11,2025-11-17,-0.0939589752573479,1,0.7584222371847541,1,0.0003517204315610231,1,1,long,3.5172043156102313,-0.0939589752573479,-939.5897525734789,-629.2868374852806,1,0
PG,2025-11-11,2025-11-17,0.0030526733842757,0,0.9834170759929376,1,-0.0166859205829059,0,-1,short,-166.859205829059,0.0030526733842757,-30.526733842757,-659.8135713280376,1,0
PM,2025-11-11,2025-11-17,-0.0160309021718095,1,0.4192723879008051,0,0.004751780170053873,1,1,long,47.517801700538726,-0.0160309021718095,-160.309021718095,-820.1225930461326,1,0
UNH,2025-11-11,2025-11-17,-0.0094885537553177,0,0.5145830518855309,1,0.10456488154016574,1,1,long,1045.6488154016574,-0.0094885537553177,-94.88553755317699,-915.0081305993095,1,0
XOM,2025-11-11,2025-11-17,-0.0194331970618969,1,0.012469877941213237,0,0.032650612127218766,1,1,long,326.50612127218767,-0.0194331970618969,-194.331970618969,-1109.3401012182785,1,0
ABBV,2025-11-18,2025-11-24,-0.040926158480284,1,0.7960285563103784,1,0.040648722586798955,1,1,long,406.48722586798954,-0.040926158480284,-409.26158480284,-1518.6016860211184,1,0
AMD,2025-11-18,2025-11-24,-0.0176470882847277,1,0.5202300670459938,1,0.03300076284324978,1,1,long,330.00762843249777,-0.0176470882847277,-176.470882847277,-1695.0725688683954,1,0
AVGO,2025-11-18,2025-11-24,-0.0089792929433427,0,0.4079614303605652,0,0.05664559165734214,1,1,long,566.4559165734214,-0.0089792929433427,-89.792929433427,-1784.8654983018223,1,0
BAC,2025-11-18,2025-11-24,0.0057327660071604,0,0.0940719630893958,0,-0.0054697077012097,0,-1,short,-54.697077012097004,0.0057327660071604,-57.327660071604,-1842.1931583734263,1,0
BRK.B,2025-11-18,2025-11-24,-0.0208149412471898,1,0.8896564216753973,1,-0.07484581360128564,0,-1,short,-748.4581360128565,-0.0208149412471898,208.149412471898,-1634.0437459015284,1,1
CAT,2025-11-18,2025-11-24,0.0223378556622719,1,0.39500724004055643,0,-0.005414437928088239,0,-1,short,-54.14437928088239,0.0223378556622719,-223.378556622719,-1857.4223025242475,1,0
COST,2025-11-18,2025-11-24,0.0219943869086021,1,0.6825815982092204,1,0.03180271221855911,1,1,long,318.0271221855911,0.0219943869086021,219.943869086021,-1637.4784334382264,1,1
CSCO,2025-11-18,2025-11-24,-0.010267254910234,1,0.14937415636815077,0,-0.03447965198194385,0,-1,short,-344.7965198194385,-0.010267254910234,102.67254910233999,-1534.8058843358863,1,1
CVX,2025-11-18,2025-11-24,-0.0151917742949296,1,0.9615496295410325,1,-0.004959783887766986,0,-1,short,-49.597838877669865,-0.0151917742949296,151.91774294929598,-1382.8881413865902,1,1
GE,2025-11-18,2025-11-24,-0.0346161713621706,1,0.1784417618218309,0,-0.0241354726586249,0,-1,short,-241.354726586249,-0.0346161713621706,346.161713621706,-1036.7264277648842,1,1
GOOG,2025-11-18,2025-11-24,-0.0262236690186201,1,0.19954199289949037,0,0.05748520488017588,1,1,long,574.8520488017588,-0.0262236690186201,-262.236690186201,-1298.9631179510852,1,0
GS,2025-11-18,2025-11-24,0.0175653386388638,1,0.8589828605577138,1,0.029485622430202765,1,1,long,294.85622430202767,0.0175653386388638,175.65338638863798,-1123.3097315624473,1,1
HD,2025-11-18,2025-11-24,0.0333144155334592,1,0.9125827441419312,1,0.02584262573749823,1,1,long,258.4262573749823,0.0333144155334592,333.144155334592,-790.1655762278552,1,1
INTC,2025-11-18,2025-11-24,0.1960544675823776,1,0.2121474075233014,0,0.024728728534148963,1,1,long,247.28728534148962,0.1960544675823776,1960.544675823776,1170.3790995959207,1,1
JNJ,2025-11-18,2025-11-24,-0.0152583264645529,1,0.4698008881748279,0,0.00021607733255196745,1,1,long,2.1607733255196746,-0.0152583264645529,-152.583264645529,1017.7958349503917,1,0
KO,2025-11-18,2025-11-24,-0.0381424242452044,1,0.7334949045628298,1,0.008952058572442315,1,1,long,89.52058572442314,-0.0381424242452044,-381.424242452044,636.3715924983478,1,0
LLY,2025-11-18,2025-11-24,-0.0409944847924159,1,0.8783657338108016,1,-0.042493058491019524,0,-1,short,-424.93058491019525,-0.0409944847924159,409.94484792415903,1046.3164404225067,1,1
LRCX,2025-11-18,2025-11-24,0.0334045441139494,1,0.3790526950373052,0,-0.07974501613405234,0,-1,short,-797.4501613405234,0.0334045441139494,-334.045441139494,712.2709992830128,1,0
MA,2025-11-18,2025-11-24,-0.0035449972084899,0,0.5170194868494292,1,0.007185737183611226,1,1,long,71.85737183611226,-0.0035449972084899,-35.449972084899,676.8210271981138,1,0
META,2025-11-18,2025-11-24,0.0370112724200455,1,0.7417164105197349,1,0.013656056808017935,1,1,long,136.56056808017937,0.0370112724200455,370.11272420045503,1046.9337513985688,1,1
MRK,2025-11-18,2025-11-24,-0.0122557611507303,1,0.7311359766527954,1,0.046592843330127406,1,1,long,465.9284333012741,-0.0122557611507303,-122.55761150730301,924.3761398912658,1,0
MS,2025-11-18,2025-11-24,0.0199142778971905,1,0.7829601300260849,1,0.0600637677951851,1,1,long,600.6376779518511,0.0199142778971905,199.142778971905,1123.5189188631707,1,1
MSFT,2025-11-18,2025-11-24,0.0152246542741407,1,0.5699338186415264,1,0.06001401215696165,1,1,long,600.1401215696166,0.0152246542741407,152.246542741407,1275.7654616045777,1,1
NFLX,2025-11-18,2025-11-24,0.003718587739188,0,0.10461509680477521,0,-0.03552970103524289,0,-1,short,-355.2970103524289,0.003718587739188,-37.18587739188,1238.5795842126977,1,0
ORCL,2025-11-18,2025-11-24,-0.014436292980305,1,0.90397329087804,1,-0.01150414026948155,0,-1,short,-115.04140269481549,-0.014436292980305,144.36292980305,1382.9425140157477,1,1
PG,2025-11-18,2025-11-24,-0.0261506848024276,1,0.8655725393210282,1,0.01947286430589807,1,1,long,194.7286430589807,-0.0261506848024276,-261.506848024276,1121.4356659914718,1,0
PM,2025-11-18,2025-11-24,0.0050362023853347,0,0.798097435818333,1,0.09580190127758824,1,1,long,958.0190127758824,0.0050362023853347,50.362023853347,1171.7976898448187,1,1
UNH,2025-11-18,2025-11-24,-0.0013232176047561,0,0.09986247716072949,0,0.056669293581569836,1,1,long,566.6929358156983,-0.0013232176047561,-13.232176047561,1158.5655137972576,1,0
XOM,2025-11-18,2025-11-24,-0.023618174675088,1,0.2043973670814292,0,0.04324931066443619,1,1,long,432.49310664436194,-0.023618174675088,-236.18174675088002,922.3837670463776,1,0
ABBV,2025-11-25,2025-12-01,-0.0138132061872,1,0.7436003651076519,1,-0.012825776779618714,0,-1,short,-128.25776779618712,-0.0138132061872,138.132061872,1060.5158289183776,1,1
AMD,2025-11-25,2025-12-01,0.0011699940957181,0,0.023140094581946435,0,-0.03125765532391056,0,-1,short,-312.5765532391056,0.0011699940957181,-11.699940957181001,1048.8158879611965,1,0
