ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,trade_side,predicted_edge_dollars,realized_alpha,pnl_dollars,cumulative_pnl_dollars,trade_taken,trade_correct_direction
LHX,2026-01-01,2026-03-31,0.009781816328733,0,0.587873957251626,1,1,0.015591121361767914,1,1,long,155.91121361767912,0.009781816328733,97.81816328733,-3806.199709123372,1,1
LIN,2026-01-01,2026-03-31,-0.0294299028118749,1,0.5510175485150745,1,1,-0.0006158061001012672,0,0,flat,-6.158061001012673,-0.0294299028118749,-0.0,-3806.199709123372,0,0
LITE,2026-01-01,2026-03-31,0.2360507921090098,1,0.6882792295288708,1,1,0.011184643553477187,1,1,long,111.84643553477187,0.2360507921090098,2360.507921090098,-1445.691788033274,1,1
LLY,2026-01-01,2026-03-31,-0.0024959103420343,0,0.6598116047110625,1,1,0.020983386305736543,1,1,long,209.83386305736545,-0.0024959103420343,-24.959103420343,-1470.6508914536169,1,0
LNT,2026-01-01,2026-03-31,-0.0218102327475673,1,0.5796793052371627,1,1,0.0034814836268846254,1,0,flat,34.81483626884626,-0.0218102327475673,-0.0,-1470.6508914536169,0,0
LOW,2026-01-01,2026-03-31,-0.0077165205448967,0,0.6338677396115913,1,1,0.014857610328363793,1,1,long,148.57610328363793,-0.0077165205448967,-77.165205448967,-1547.816096902584,1,0
LULU,2026-01-01,2026-03-31,-0.001328209331461,0,0.6421025055200146,1,1,0.014419838927683311,1,1,long,144.19838927683313,-0.001328209331461,-13.28209331461,-1561.0981902171939,1,0
LUV,2026-01-01,2026-03-31,0.0363754664474906,1,0.8408311710021931,1,1,-0.0027508179021723295,0,0,flat,-27.508179021723294,0.0363754664474906,0.0,-1561.0981902171939,0,0
LYB,2026-01-01,2026-03-31,-0.1176497041095978,1,0.6885792318943322,1,1,0.010171949782707641,1,1,long,101.71949782707641,-0.1176497041095978,-1176.497041095978,-2737.595231313172,1,0
MA,2026-01-01,2026-03-31,-0.0240205449343737,1,0.6531097389285742,1,1,0.014402730651682348,1,1,long,144.02730651682347,-0.0240205449343737,-240.205449343737,-2977.800680656909,1,0
MAA,2026-01-01,2026-03-31,-0.0064416486127194,0,0.5122224499047423,1,1,-0.0044341939382490205,0,0,flat,-44.3419393824902,-0.0064416486127194,-0.0,-2977.800680656909,0,0
MAR,2026-01-01,2026-03-31,0.0268150323738671,1,0.6598273344954879,1,1,0.014464111439197569,1,1,long,144.6411143919757,0.0268150323738671,268.150323738671,-2709.6503569182382,1,1
MCD,2026-01-01,2026-03-31,-0.0511131901571115,1,0.6457821795264838,1,1,0.0007352441218134563,1,0,flat,7.352441218134563,-0.0511131901571115,-0.0,-2709.6503569182382,0,0
MCHP,2026-01-01,2026-03-31,0.0557715799180362,1,0.7192074171242204,1,1,0.014606049393350458,1,1,long,146.06049393350457,0.0557715799180362,557.715799180362,-2151.9345577378763,1,1
MCK,2026-01-01,2026-03-31,-0.032225107711767,1,0.5554479585579366,1,1,0.01377353951179123,1,1,long,137.7353951179123,-0.032225107711767,-322.25107711767004,-2474.185634855546,1,0
MDLZ,2026-01-01,2026-03-31,-0.0183052132026135,1,0.7006736640428697,1,1,0.00889567995594804,1,1,long,88.9567995594804,-0.0183052132026135,-183.05213202613498,-2657.237766881681,1,0
MDT,2026-01-01,2026-03-31,-0.0158692795326509,1,0.6000257160855825,1,1,0.014627106913896166,1,1,long,146.27106913896165,-0.0158692795326509,-158.69279532650899,-2815.93056220819,1,0
MET,2026-01-01,2026-03-31,0.0122370719510389,1,0.620101406630298,1,1,0.014866743236066751,1,1,long,148.6674323606675,0.0122370719510389,122.37071951038901,-2693.5598426978013,1,1
MGM,2026-01-01,2026-03-31,-0.0365188614974805,1,0.8175707426878361,1,1,0.02873313171288692,1,1,long,287.3313171288692,-0.0365188614974805,-365.18861497480503,-3058.7484576726065,1,0
MKC,2026-01-01,2026-03-31,-0.0375628502644012,1,0.7410976291953209,1,1,0.020598519993131476,1,1,long,205.98519993131475,-0.0375628502644012,-375.628502644012,-3434.3769603166184,1,0
MMM,2026-01-01,2026-03-31,-0.0118212423359229,1,0.6758466075960149,1,1,0.015073985325209037,1,1,long,150.73985325209037,-0.0118212423359229,-118.21242335922899,-3552.5893836758473,1,0
MNST,2026-01-01,2026-03-31,-0.0019647129795721,0,0.5861982161952518,1,1,0.011724366998498508,1,1,long,117.24366998498508,-0.0019647129795721,-19.647129795721,-3572.2365134715683,1,0
MPC,2026-01-01,2026-03-31,-0.0889137718716767,1,0.6962767575386085,1,1,0.00876516088161672,1,1,long,87.6516088161672,-0.0889137718716767,-889.137718716767,-4461.374232188336,1,0
MPWR,2026-01-01,2026-03-31,0.1618907828843767,1,0.6678497787373041,1,1,0.020062059348437713,1,1,long,200.62059348437714,0.1618907828843767,1618.907828843767,-2842.466403344569,1,1
MRK,2026-01-01,2026-03-31,-0.0149253739246906,1,0.5687818770566058,1,1,0.0027153499766228574,1,0,flat,27.153499766228574,-0.0149253739246906,-0.0,-2842.466403344569,0,0
MRSH,2026-01-01,2026-03-31,-0.0253444330018826,1,0.6558843620626652,1,1,0.010941464670006782,1,1,long,109.41464670006782,-0.0253444330018826,-253.444330018826,-3095.9107333633947,1,0
MS,2026-01-01,2026-03-31,0.0306245941628302,1,0.6143154768523899,1,1,0.0161026472808712,1,1,long,161.026472808712,0.0306245941628302,306.245941628302,-2789.664791735093,1,1
MSI,2026-01-01,2026-03-31,-0.0072433576421675,0,0.5710854534571415,1,1,0.017828947846367516,1,1,long,178.28947846367515,-0.0072433576421675,-72.433576421675,-2862.0983681567677,1,0
MTD,2026-01-01,2026-03-31,0.0098600639395265,0,0.6478303940992576,1,1,0.02944391881654166,1,1,long,294.4391881654166,0.0098600639395265,98.600639395265,-2763.497728761503,1,1
MU,2026-01-01,2026-03-31,0.1649624995991205,1,0.8029074454658806,1,1,0.0268642861307607,1,1,long,268.642861307607,0.1649624995991205,1649.624995991205,-1113.872732770298,1,1
NDAQ,2026-01-01,2026-03-31,-0.0012548349276031,0,0.6403729022648599,1,1,0.01830279402191091,1,1,long,183.02794021910913,-0.0012548349276031,-12.548349276031,-1126.421082046329,1,0
NDSN,2026-01-01,2026-03-31,-0.0069653374471982,0,0.6682367024825296,1,1,0.02036595783644925,1,1,long,203.65957836449252,-0.0069653374471982,-69.65337447198199,-1196.074456518311,1,0
NEE,2026-01-01,2026-03-31,-0.0250617417698411,1,0.5905743843800707,1,1,0.0001339436023868536,1,0,flat,1.3394360238685359,-0.0250617417698411,-0.0,-1196.074456518311,0,0
NFLX,2026-01-01,2026-03-31,-0.0052533157850804,0,0.6252246693030196,1,1,0.019852269603961886,1,1,long,198.52269603961886,-0.0052533157850804,-52.533157850803995,-1248.607614369115,1,0
NI,2026-01-01,2026-03-31,-0.0080891186072515,0,0.7116561767838756,1,1,0.00818485386373772,1,0,flat,81.8485386373772,-0.0080891186072515,-0.0,-1248.607614369115,0,0
NOW,2026-01-01,2026-03-31,-0.1066694512985481,1,0.7094281589404868,1,1,0.010685324108321601,1,1,long,106.853241083216,-0.1066694512985481,-1066.694512985481,-2315.302127354596,1,0
NSC,2026-01-01,2026-03-31,-0.0142119437017484,1,0.5546638796653247,1,1,0.005378617686748261,1,0,flat,53.78617686748261,-0.0142119437017484,-0.0,-2315.302127354596,0,0
NWSA,2026-01-01,2026-03-31,-0.0405551702100426,1,0.7237838758015047,1,1,-0.0027766697982989754,0,0,flat,-27.766697982989754,-0.0405551702100426,-0.0,-2315.302127354596,0,0
NXPI,2026-01-01,2026-03-31,-0.0013096593196375,0,0.6761926271368618,1,1,0.018915218563328937,1,1,long,189.15218563328938,-0.0013096593196375,-13.096593196375,-2328.398720550971,1,0
O,2026-01-01,2026-03-31,-0.0126348416077999,1,0.575755433890142,1,1,-0.005518292885195154,0,0,flat,-55.182928851951544,-0.0126348416077999,-0.0,-2328.398720550971,0,0
ODFL,2026-01-01,2026-03-31,0.0231271751517869,1,0.7348847931475687,1,1,0.01132687744931881,1,1,long,113.2687744931881,0.0231271751517869,231.27175151786898,-2097.1269690331023,1,1
ORLY,2026-01-01,2026-03-31,-0.0308258438315798,1,0.5863146727319108,1,1,0.010001728948360848,1,1,long,100.01728948360848,-0.0308258438315798,-308.258438315798,-2405.3854073489,1,0
OTIS,2026-01-01,2026-03-31,-0.0069059968940088,0,0.6283488216138262,1,1,0.006021916514083947,1,0,flat,60.21916514083947,-0.0069059968940088,-0.0,-2405.3854073489,0,0
PCAR,2026-01-01,2026-03-31,0.0362874754492701,1,0.6396132086306789,1,1,0.016170104818274366,1,1,long,161.70104818274365,0.0362874754492701,362.874754492701,-2042.5106528561992,1,1
PCG,2026-01-01,2026-03-31,0.0077198035280348,0,0.7807171504365243,1,1,0.017150144241203376,1,1,long,171.50144241203375,0.0077198035280348,77.198035280348,-1965.3126175758512,1,1
PEP,2026-01-01,2026-03-31,-0.0421059648724456,1,0.5636609848758024,1,1,0.001275155333627576,1,0,flat,12.751553336275759,-0.0421059648724456,-0.0,-1965.3126175758512,0,0
PGR,2026-01-01,2026-03-31,-0.0391902995270124,1,0.6471491815300829,1,1,0.007442689796405301,1,0,flat,74.42689796405301,-0.0391902995270124,-0.0,-1965.3126175758512,0,0
PHM,2026-01-01,2026-03-31,-0.0148880457699389,1,0.6903045582635992,1,1,0.019870797152560488,1,1,long,198.70797152560488,-0.0148880457699389,-148.880457699389,-2114.19307527524,1,0
PM,2026-01-01,2026-03-31,-0.065562434769167,1,0.6796395138080605,1,1,0.01623468534452423,1,1,long,162.34685344524232,-0.065562434769167,-655.62434769167,-2769.8174229669103,1,0
PNC,2026-01-01,2026-03-31,0.0219364634751233,1,0.5499230560287419,1,1,0.0025222168738334703,1,0,flat,25.2221687383347,0.0219364634751233,0.0,-2769.8174229669103,0,0
PNR,2026-01-01,2026-03-31,0.000310031818635,0,0.6898845015036202,1,1,0.025393892023782682,1,1,long,253.9389202378268,0.000310031818635,3.10031818635,-2766.7171047805605,1,1
PPG,2026-01-01,2026-03-31,-0.0053615310880275,0,0.7027672461820385,1,1,0.014948689572289788,1,1,long,149.48689572289788,-0.0053615310880275,-53.615310880275004,-2820.3324156608355,1,0
PPL,2026-01-01,2026-03-31,-0.0140815115033527,1,0.6711480102679532,1,1,0.002282878920421981,1,0,flat,22.828789204219813,-0.0140815115033527,-0.0,-2820.3324156608355,0,0
PRU,2026-01-01,2026-03-31,-0.0495965708020283,1,0.6174989382446967,1,1,0.01301361341687365,1,1,long,130.1361341687365,-0.0495965708020283,-495.965708020283,-3316.2981236811183,1,0
PSKY,2026-01-01,2026-03-31,0.1606058053828658,1,0.7152511172648659,1,1,0.006917411268207667,1,0,flat,69.17411268207667,0.1606058053828658,0.0,-3316.2981236811183,0,0
PSX,2026-01-01,2026-03-31,-0.1167857119873734,1,0.6560997979044649,1,1,0.011962618404592873,1,1,long,119.62618404592872,-0.1167857119873734,-1167.857119873734,-4484.155243554853,1,0
PTC,2026-01-01,2026-03-31,-0.0261076220444735,1,0.6123096819411155,1,1,0.022697522000611058,1,1,long,226.9752200061106,-0.0261076220444735,-261.076220444735,-4745.2314639995875,1,0
PWR,2026-01-01,2026-03-31,0.0108347733844562,1,0.6742933952687805,1,1,0.017059216436399058,1,1,long,170.59216436399058,0.0108347733844562,108.347733844562,-4636.883730155026,1,1
QCOM,2026-01-01,2026-03-31,-0.0488123947322931,1,0.6117299634657498,1,1,0.0018663063207019184,1,0,flat,18.663063207019185,-0.0488123947322931,-0.0,-4636.883730155026,0,0
RCL,2026-01-01,2026-03-31,-0.0241239195135105,1,0.7399895899260901,1,1,0.009596573264602854,1,1,long,95.96573264602854,-0.0241239195135105,-241.23919513510498,-4878.12292529013,1,0
REGN,2026-01-01,2026-03-31,-0.035210199590802,1,0.6718559335815409,1,1,0.018610451224558285,1,1,long,186.10451224558284,-0.035210199590802,-352.10199590802,-5230.224921198151,1,0
RMD,2026-01-01,2026-03-31,-0.011242153136598,1,0.5672253760907136,1,1,0.020483990955127686,1,1,long,204.83990955127686,-0.011242153136598,-112.42153136598,-5342.64645256413,1,0
ROL,2026-01-01,2026-03-31,-0.0147978433378359,1,0.6837206086005981,1,1,0.015444183547669582,1,1,long,154.44183547669581,-0.0147978433378359,-147.978433378359,-5490.6248859424895,1,0
ROP,2026-01-01,2026-03-31,-0.0307633127693887,1,0.5665760196588451,1,1,0.006936402035495275,1,0,flat,69.36402035495274,-0.0307633127693887,-0.0,-5490.6248859424895,0,0
ROST,2026-01-01,2026-03-31,-0.0027599186758002,0,0.6595368455476498,1,1,0.01288040885409065,1,1,long,128.8040885409065,-0.0027599186758002,-27.599186758002002,-5518.224072700492,1,0
RTX,2026-01-01,2026-03-31,0.0158964413223681,1,0.5954048007145869,1,1,0.013900906539556186,1,1,long,139.00906539556186,0.0158964413223681,158.96441322368102,-5359.259659476811,1,1
SBUX,2026-01-01,2026-03-31,0.0461035287135933,1,0.6523810818261359,1,1,0.006882161904114166,1,0,flat,68.82161904114166,0.0461035287135933,0.0,-5359.259659476811,0,0
SHW,2026-01-01,2026-03-31,0.0082183692452231,0,0.65499039666243,1,1,0.014384422902987342,1,1,long,143.84422902987342,0.0082183692452231,82.183692452231,-5277.07596702458,1,1
SMCI,2026-01-01,2026-03-31,-0.0126001635700447,1,0.7332838591046732,1,1,0.0610865087545108,1,1,long,610.8650875451079,-0.0126001635700447,-126.001635700447,-5403.077602725027,1,0
SNDK,2026-01-01,2026-03-31,0.1901550212478118,1,0.7183742160854358,1,1,0.02247811717328055,1,1,long,224.7811717328055,0.1901550212478118,1901.550212478118,-3501.527390246909,1,1
SO,2026-01-01,2026-03-31,-0.0322162693094079,1,0.5830506997315056,1,1,-0.005052093267732614,0,0,flat,-50.520932677326144,-0.0322162693094079,-0.0,-3501.527390246909,0,0
SPG,2026-01-01,2026-03-31,0.0013109500024424,0,0.6643381416411965,1,1,0.015962907691800178,1,1,long,159.62907691800177,0.0013109500024424,13.109500024424,-3488.417890222485,1,1
SPGI,2026-01-01,2026-03-31,-0.0116313311573363,1,0.6401145159187688,1,1,0.012549695849902818,1,1,long,125.49695849902818,-0.0116313311573363,-116.313311573363,-3604.731201795848,1,0
SRE,2026-01-01,2026-03-31,-0.0213526259353347,1,0.5975936567943136,1,1,0.006670013998968763,1,0,flat,66.70013998968763,-0.0213526259353347,-0.0,-3604.731201795848,0,0
STE,2026-01-01,2026-03-31,-0.0213139846141106,1,0.645479167941068,1,1,0.01267867900779284,1,1,long,126.78679007792839,-0.0213139846141106,-213.139846141106,-3817.871047936954,1,0
STZ,2026-01-01,2026-03-31,-0.0372173501932877,1,0.5441501064230749,1,1,0.004215723250941569,1,0,flat,42.15723250941569,-0.0372173501932877,-0.0,-3817.871047936954,0,0
SW,2026-01-01,2026-03-31,0.0220280390790257,1,0.8698470505521892,1,1,0.015198934548069058,1,1,long,151.9893454806906,0.0220280390790257,220.28039079025697,-3597.5906571466967,1,1
SWK,2026-01-01,2026-03-31,-0.0328994121065404,1,0.67225298718333,1,1,0.029006110678879753,1,1,long,290.06110678879753,-0.0328994121065404,-328.994121065404,-3926.584778212101,1,0
