Date,sp_return_1d,sp_return_5d,cumulative_return,position,capital_deployed,daily_pnl_dollars,cumulative_pnl_dollars,trade_side,trade_taken,ticker
2025-08-20,-0.0024316693228262,-0.010948645514845,0.15682202761135122,1,10000.0,-24.316693228261997,1568.2202761135122,long,1,^GSPC
2025-08-21,-0.0040041815293089,-0.0152074682375711,0.15218990221569206,1,10000.0,-40.041815293089,1521.8990221569206,long,1,^GSPC
2025-08-22,0.0151864448768934,0.0026528500233549,0.169687570653404,1,10000.0,151.864448768934,1696.87570653404,long,1,^GSPC
2025-08-25,-0.0042663855480634,-0.0015242440125988,0.16469723250621904,1,10000.0,-42.663855480634005,1646.9723250621903,long,1,^GSPC
2025-08-26,0.0041339951911349,0.0085114138197168,0.169512085264528,1,10000.0,41.339951911349004,1695.12085264528,long,1,^GSPC
2025-08-27,0.0023909843081744,0.0133869707938056,0.1723083703086159,1,10000.0,23.909843081744,1723.083703086159,long,1,^GSPC
2025-08-28,0.0031567194195349,0.0206729087326273,0.1760090189068526,1,10000.0,31.567194195349,1760.0901890685261,long,1,^GSPC
2025-08-29,-0.0063981842935716,-0.0010283722000641,0.16848469647298425,1,10000.0,-63.981842935715996,1684.8469647298425,long,1,^GSPC
2025-09-02,-0.0069222799368615,-0.0036929032577032,0.1603961183020597,1,10000.0,-69.222799368615,1603.9611830205968,long,1,^GSPC
2025-09-03,0.0051000736279842,-0.0027343550885819,0.1663142239430273,1,10000.0,51.000736279842,1663.142239430273,long,1,^GSPC
2025-09-04,0.0083464864096993,0.0031906958516434,0.17604884976260693,1,10000.0,83.46486409699301,1760.4884976260694,long,1,^GSPC
2025-09-05,-0.0031651529783888,-0.0031313906650358,0.17232647524305,1,10000.0,-31.651529783888,1723.2647524305,long,1,^GSPC
2025-09-08,0.0021059789159529,0.0054007327854523,0.17479537008252533,1,10000.0,21.059789159529,1747.9537008252532,long,1,^GSPC
2025-09-09,0.0026881536531127,0.0151304213873997,0.17795340054827258,1,10000.0,26.881536531127,1779.534005482726,long,1,^GSPC
2025-09-10,0.0029834699435626,0.0129926951584866,0.18146778911372574,1,10000.0,29.834699435626,1814.6778911372573,long,1,^GSPC
2025-09-11,0.0084858903879598,0.0131327414754593,0.1914935952690502,1,10000.0,84.858903879598,1914.9359526905018,long,1,^GSPC
2025-09-12,-0.0004827613146674,0.0158589892868163,0.1909183882545804,1,10000.0,-4.827613146674,1909.183882545804,long,1,^GSPC
2025-09-15,0.0047066192269626,0.0184953210655156,0.19652358763848277,1,10000.0,47.066192269626,1965.2358763848276,long,1,^GSPC
2025-09-16,-0.0012879303382402,0.0144565549480519,0.19498254860954312,1,10000.0,-12.879303382402,1949.8254860954312,long,1,^GSPC
2025-09-17,-0.0009701681605103,0.0104576913468452,0.1938232145885166,1,10000.0,-9.701681605103,1938.232145885166,long,1,^GSPC
2025-09-18,0.0047891191851283,0.0067536921826985,0.199540576249154,1,10000.0,47.891191851283004,1995.40576249154,long,1,^GSPC
2025-09-19,0.0048854188708296,0.0121607377171601,0.20540083441668733,1,10000.0,48.854188708296,2054.0083441668735,long,1,^GSPC
2025-09-22,0.004410046474333,0.011861964632218,0.21071670811666476,1,10000.0,44.10046474333,2107.1670811666477,long,1,^GSPC
2025-09-23,-0.0055021591970121,0.0075922476417233,0.20405515204612446,1,10000.0,-55.021591970120994,2040.5515204612445,long,1,^GSPC
2025-09-24,-0.0028466178433332,0.005699715413711,0.20062766716595282,1,10000.0,-28.466178433331997,2006.2766716595281,long,1,^GSPC
2025-09-25,-0.0050090613431266,-0.0041073447750277,0.19461364953086346,1,10000.0,-50.09061343126599,1946.1364953086347,long,1,^GSPC
2025-09-26,0.0059018367471712,-0.0031000228667991,0.20166406426633698,1,10000.0,59.018367471712,2016.6406426633698,long,1,^GSPC
2025-09-29,0.0026355442163621,-0.0048612570028011,0.20483110304092444,1,10000.0,26.355442163621003,2048.3110304092443,long,1,^GSPC
2025-09-30,0.0040908483833717,0.0047379327726111,0.20975988441103532,1,10000.0,40.908483833717,2097.598844110353,long,1,^GSPC
2025-10-01,0.0033999208349619,0.0110319838894417,0.21387297224734558,1,10000.0,33.999208349618996,2138.7297224734557,long,1,^GSPC
2025-10-02,0.0006183547238911,0.0167501240346057,0.21462357633393858,1,10000.0,6.183547238911,2146.235763339386,long,1,^GSPC
2025-10-03,6.551280273581206e-05,0.0108508574485139,0.2147031497286933,1,10000.0,0.6551280273581206,2147.0314972869332,long,1,^GSPC
2025-10-06,0.0036465919796933,0.0118701894524311,0.21913267649220214,1,10000.0,36.465919796933,2191.3267649220215,long,1,^GSPC
2025-10-07,-0.0038114057910215,0.0039067114051822,0.21448606714899632,1,10000.0,-38.114057910215,2144.8606714899634,long,1,^GSPC
2025-10-08,0.005827663640568,0.0063356803990064,0.22156368344449695,1,10000.0,58.27663640568,2215.6368344449693,long,1,^GSPC
2025-10-09,-0.0027555704071953,0.0029424773597279,0.2181975787078927,1,10000.0,-27.555704071953002,2181.9757870789267,long,1,^GSPC
2025-10-10,-0.0271116732114136,-0.0243128913333766,0.18517020404702889,1,10000.0,-271.116732114136,1851.702040470289,long,1,^GSPC
2025-10-13,0.0155986717875575,-0.0126937713328938,0.20365728507235104,1,10000.0,155.986717875575,2036.5728507235103,long,1,^GSPC
2025-10-14,-0.0015643266604626,-0.0104667279449194,0.20177437189125236,1,10000.0,-15.643266604626,2017.7437189125235,long,1,^GSPC
2025-10-15,0.0040260011595036,-0.0122392035234631,0.2066127169059484,1,10000.0,40.260011595036,2066.127169059484,long,1,^GSPC
2025-10-16,-0.0062943870998294,-0.015744366642126,0.19901782938616552,1,10000.0,-62.943870998294,1990.1782938616552,long,1,^GSPC
2025-10-17,0.0052707155502571,0.017016380591287,0.2053375113045468,1,10000.0,52.707155502571,2053.375113045468,long,1,^GSPC
2025-10-20,0.0106722708532569,0.0120831027260006,0.2182011996947797,1,10000.0,106.722708532569,2182.011996947797,long,1,^GSPC
2025-10-21,3.2696450934288634e-05,0.0137019552458645,0.21824103055053357,1,10000.0,0.32696450934288634,2182.4103055053356,long,1,^GSPC
2025-10-22,-0.0053375392208654,0.004248176976535,0.2117386212695025,1,10000.0,-53.375392208654006,2117.386212695025,long,1,^GSPC
2025-10-23,0.0058273934429324,0.0164985616515798,0.21879989896563634,1,10000.0,58.273934429324,2187.9989896563634,long,1,^GSPC
2025-10-24,0.0079024225878738,0.0191596621661425,0.2284313708173209,1,10000.0,79.024225878738,2284.313708173209,long,1,^GSPC
2025-10-27,0.0122900508656711,0.020791027919869,0.24352885484965192,1,10000.0,122.900508656711,2435.288548496519,long,1,^GSPC
2025-10-28,0.0022879438603986,0.0230930889719636,0.2463739790583337,1,10000.0,22.879438603986003,2463.739790583337,long,1,^GSPC
2025-10-29,-4.3578255173426506e-05,0.028538368240917,0.2463196642550327,1,10000.0,-0.43578255173426506,2463.196642550327,long,1,^GSPC
2025-10-30,-0.0099048124395192,0.0124509386554301,0.23397510174090197,1,10000.0,-99.04812439519199,2339.75101740902,long,1,^GSPC
2025-10-31,0.0026179217059763,0.007142589594749,0.23720555194438386,1,10000.0,26.179217059763,2372.0555194438384,long,1,^GSPC
2025-11-03,0.0017207127269924,-0.0033730038107067,0.23933442728352028,1,10000.0,17.207127269924,2393.344272835203,long,1,^GSPC
2025-11-04,-0.0117368300845838,-0.0173185654775329,0.2247885696925187,1,10000.0,-117.36830084583801,2247.885696925187,long,1,^GSPC
2025-11-05,0.0036535556982648,-0.0136853022492745,0.22926340295048853,1,10000.0,36.535556982648,2292.6340295048853,long,1,^GSPC
2025-11-06,-0.011178189042419,-0.0149538167062597,0.2155224642493807,1,10000.0,-111.78189042419001,2155.224642493807,long,1,^GSPC
2025-11-07,0.001261841800771,-0.0162861301488429,0.2170562613045468,1,10000.0,12.61841800771,2170.562613045468,long,1,^GSPC
2025-11-10,0.0154010186217099,-0.0028517402221289,0.2358001674485668,1,10000.0,154.010186217099,2358.001674485668,long,1,^GSPC
2025-11-11,0.0020753505173405,0.0110846203245511,0.2383648859654106,1,10000.0,20.753505173405,2383.648859654106,long,1,^GSPC
2025-11-12,0.0006295171887717,0.0080381917926557,0.23914445794709738,1,10000.0,6.295171887717,2391.4445794709736,long,1,^GSPC
2025-11-13,-0.0165568549615969,0.0025549989591822,0.2186281228804008,1,10000.0,-165.56854961596898,2186.2812288040077,long,1,^GSPC
2025-11-14,-0.0005017255648851,0.0007891538978541,0.2180167059970637,1,10000.0,-5.017255648851,2180.1670599706367,long,1,^GSPC
2025-11-17,-0.0091622661768078,-0.0234206593282825,0.20685691272891993,1,10000.0,-91.622661768078,2068.569127289199,long,1,^GSPC
2025-11-18,-0.0082564366909679,-0.0334895727434675,0.19689257503391677,1,10000.0,-82.564366909679,1968.9257503391677,long,1,^GSPC
2025-11-19,0.0037538357962292,-0.0304717859799279,0.20138551322632003,1,10000.0,37.538357962292,2013.8551322632004,long,1,^GSPC
2025-11-20,-0.0155672835632704,-0.0294962162224841,0.1826832042731208,1,10000.0,-155.672835632704,1826.8320427312078,long,1,^GSPC
2025-11-21,0.0098230354153194,-0.0194709667006176,0.1943007432737991,1,10000.0,98.230354153194,1943.007432737991,long,1,^GSPC
2025-11-24,0.0154672170012934,0.0049022707195032,0.21277325203482111,1,10000.0,154.672170012934,2127.732520348211,long,1,^GSPC
2025-11-25,0.0090616968172205,0.0224501856552308,0.2237630355527953,1,10000.0,90.616968172205,2237.6303555279533,long,1,^GSPC
2025-11-26,0.0069067115110126,0.0256617881866132,0.23221521379719956,1,10000.0,69.067115110126,2322.1521379719957,long,1,^GSPC
2025-11-28,0.0053547731634202,0.0474600825307025,0.2388134467555989,1,10000.0,53.547731634202,2388.134467555989,long,1,^GSPC
2025-12-01,-0.0053233293429156,0.0317491986200617,0.23221883478408634,1,10000.0,-53.23329342915601,2322.1883478408636,long,1,^GSPC
2025-12-02,0.0024572352619998,0.0185306150864479,0.23524668635541812,1,10000.0,24.572352619998004,2352.466863554181,long,1,^GSPC
