ticker,week_start,last_date,future_alpha_5d,label_abs_alpha_gt_1pct,predicted_probability,predicted_label,predicted_signal,predicted_alpha_score,predicted_direction,trade_position,position_weight,realized_alpha,period_return_contribution,trade_taken,requested_k_long,requested_k_short,effective_k_long,effective_k_short,trade_side,trade_correct_direction
GPN,2026-03-10,2026-03-16,0.0619023742074215,1,0.6269625433943227,1,1,0.016300923857521,1,1,0.2,0.0619023742074215,0.012380474841484301,1,5,0,5,0,long,1
SMCI,2026-03-17,2026-03-23,0.0119588712572209,1,0.8099911442707167,1,1,0.0868079400015789,1,1,0.2,0.0119588712572209,0.0023917742514441803,1,5,0,5,0,long,1
CNC,2026-03-17,2026-03-23,0.0052719165012521,0,0.7151043523131831,1,1,0.0209585668450625,1,1,0.2,0.0052719165012521,0.0010543833002504201,1,5,0,5,0,long,1
TTD,2026-03-17,2026-03-23,-0.0449468293041818,1,0.6858424299671319,1,1,0.0161443272086956,1,1,0.2,-0.0449468293041818,-0.00898936586083636,1,5,0,5,0,long,0
VST,2026-03-17,2026-03-23,0.0112684437628207,1,0.6130781335329478,1,1,0.015563025088018,1,1,0.2,0.0112684437628207,0.00225368875256414,1,5,0,5,0,long,1
NCLH,2026-03-17,2026-03-23,-0.0867081969366105,1,0.6697632340078085,1,1,0.0130737117219183,1,1,0.2,-0.0867081969366105,-0.0173416393873221,1,5,0,5,0,long,0
SMCI,2026-03-24,2026-03-30,0.0333931149860995,1,0.7621223366316849,1,1,0.0498554630074473,1,1,0.2,0.0333931149860995,0.006678622997219901,1,5,0,5,0,long,1
MRNA,2026-03-24,2026-03-30,-0.0040752484962636,0,0.6981776448718818,1,1,0.0282807830174813,1,1,0.2,-0.0040752484962636,-0.0008150496992527199,1,5,0,5,0,long,0
MU,2026-03-24,2026-03-30,0.1302823204265457,1,0.7907316946962275,1,1,0.0267085482153184,1,1,0.2,0.1302823204265457,0.02605646408530914,1,5,0,5,0,long,1
COHR,2026-03-24,2026-03-30,0.1183380264374351,1,0.7509566133637183,1,1,0.0266996000976958,1,1,0.2,0.1183380264374351,0.02366760528748702,1,5,0,5,0,long,1
LITE,2026-03-24,2026-03-30,0.2027641530571025,1,0.6837458565675921,1,1,0.0245704576053269,1,1,0.2,0.2027641530571025,0.0405528306114205,1,5,0,5,0,long,1
STX,2026-03-31,2026-04-06,0.0908157428604632,1,0.7252422240158974,1,1,0.0267544611615305,1,1,0.2,0.0908157428604632,0.01816314857209264,1,5,0,5,0,long,1
SMCI,2026-03-31,2026-04-06,0.136274882291995,1,0.7457532947217647,1,1,0.0256589593964596,1,1,0.2,0.136274882291995,0.027254976458399,1,5,0,5,0,long,1
SBAC,2026-03-31,2026-04-06,-0.0046890109645068,0,0.6572477951535679,1,1,0.022272643928638,1,1,0.2,-0.0046890109645068,-0.0009378021929013601,1,5,0,5,0,long,0
CNC,2026-03-31,2026-04-06,0.0169716600329052,1,0.6950856217623621,1,1,0.013548738327344,1,1,0.2,0.0169716600329052,0.00339433200658104,1,5,0,5,0,long,1
APP,2026-03-31,2026-04-06,-0.0299442649499064,1,0.6629656487369299,1,1,0.0133808171454522,1,1,0.2,-0.0299442649499064,-0.00598885298998128,1,5,0,5,0,long,0
SNDK,2026-04-07,2026-04-13,-0.0738176810855989,1,0.7481300185519992,1,1,0.0447180184611703,1,1,0.2,-0.0738176810855989,-0.014763536217119781,1,5,0,5,0,long,0
SMCI,2026-04-07,2026-04-13,0.0769880764010273,1,0.7293572765711847,1,1,0.0388155668541982,1,1,0.2,0.0769880764010273,0.01539761528020546,1,5,0,5,0,long,1
CIEN,2026-04-07,2026-04-13,0.016328753094275,1,0.6995282107657418,1,1,0.0350016407475392,1,1,0.2,0.016328753094275,0.003265750618855,1,5,0,5,0,long,1
INTC,2026-04-07,2026-04-13,-0.024391026899535,1,0.7467846088244804,1,1,0.0339410569772669,1,1,0.2,-0.024391026899535,-0.004878205379907001,1,5,0,5,0,long,0
FIX,2026-04-07,2026-04-13,-0.0002521704573084,0,0.5311669314380029,1,1,0.0331125642796971,1,1,0.2,-0.0002521704573084,-5.043409146168e-05,1,5,0,5,0,long,0
AKAM,2026-04-14,2026-04-20,-0.0264228599701843,1,0.6735461266165851,1,1,0.0327029879580025,1,1,0.2,-0.0264228599701843,-0.005284571994036861,1,5,0,5,0,long,0
INTC,2026-04-14,2026-04-20,0.28449652428522,1,0.7318541188710036,1,1,0.0288929033469925,1,1,0.2,0.28449652428522,0.056899304857044,1,5,0,5,0,long,1
APP,2026-04-14,2026-04-20,-0.071580223114904,1,0.6921056908561293,1,1,0.0261606701987388,1,1,0.2,-0.071580223114904,-0.0143160446229808,1,5,0,5,0,long,0
SNDK,2026-04-14,2026-04-20,0.1630430628471295,1,0.6813319196193208,1,1,0.0261445587220155,1,1,0.2,0.1630430628471295,0.0326086125694259,1,5,0,5,0,long,1
ALB,2026-04-14,2026-04-20,0.0150127698146493,1,0.6054900613155196,1,1,0.0246392084997476,1,1,0.2,0.0150127698146493,0.0030025539629298602,1,5,0,5,0,long,1
INTC,2026-04-21,2026-04-27,0.4519355489382869,1,0.7512315171295735,1,1,0.0571901375340073,1,1,0.2,0.4519355489382869,0.09038710978765739,1,5,0,5,0,long,1
ALB,2026-04-21,2026-04-27,-0.0169238255838465,1,0.5414081867085958,1,1,0.0465243446344108,1,1,0.2,-0.0169238255838465,-0.0033847651167693,1,5,0,5,0,long,0
NOW,2026-04-21,2026-04-27,-0.1373032592003676,1,0.6828965617631825,1,1,0.033462100053304,1,1,0.2,-0.1373032592003676,-0.02746065184007352,1,5,0,5,0,long,0
CHTR,2026-04-21,2026-04-27,-0.3454731077767001,1,0.7152297024195684,1,1,0.0312960656773647,1,1,0.2,-0.3454731077767001,-0.06909462155534002,1,5,0,5,0,long,0
COHR,2026-04-21,2026-04-27,-0.1296666705077811,1,0.6118862102434204,1,1,0.0290344042421263,1,1,0.2,-0.1296666705077811,-0.025933334101556224,1,5,0,5,0,long,0
